Date,Age,Missing from,Circumstances,
c. 1984,45,"Addis Ababa, Ethiopia","Girma, an Ethiopian journalist and critic of the Derg, was presumably abducted and killed outside the capital, but his body has never been located.",
10-Feb-84,10,"San Francisco, California, U.S.",Collins disappeared while en route to basketball practice. He was one of the first children to be featured on milk cartons and the cover of national publications.,
13-Feb-84,43,"Denali, Alaska, U.S.","Naomi Uemura, a Japanese adventurer who was particularly well known for doing alone what had previously been achieved only with large teams, disappeared on 13 February 1984 while descending Mount Denali after a solo climb.",
21-Apr-84,41,"Mount Everest, Nepal","Prodanov, a Bulgarian mountaineer and the first Bulgarian to climb Mount Everest, disappeared on 21 April 1984 after descending the mountain the previous night. He was last heard from reporting that he had lost his gloves and is believed to have died.",
20-Jul-84,58,"Ronan, Montana, U.S.","Kerrigan, a Roman Catholic priest, was last seen at a bakery in Ronan. His bloodied clothing and a blood-stained coat hanger was found along Flathead Lake days later. His vehicle was discovered shortly after, containing USD $1,200, along with a blood-stained pillowcase and shovel. Kerrigan was later implicated, along with 80 others, in sexual abuse of minors by the Roman Catholic Diocese of Helena. His remains have never been found.",
22-Jul-84,31,"Missoula, Montana",Curtis Holmen a schoolteacher in Missoula disappeared and was never seen again. His case remains unsolved.,
13-Nov-84,8,"Exeter, New Hampshire, U.S.","Tammy Belanger, an eight-year-old third-grade student, disappeared while walking from her home to the nearby elementary school. Police believe she was abducted; the one suspect in the case was never charged in connection with Belanger's disappearance, and he died in December 2012.",
23-Dec-84,33–34,"Changi, Singapore","Ayakannu Marithamuthu was a Singaporean caretaker who was allegedly murdered on 23 December 1984. His body has never been found, and speculation remains his body was cooked into a curry before being disposed of in garbage containers. Six individuals were later charged with Ayakannu's murder, but were released on the day of the trial due to lack of evidence.",
1984,Unknown,"Remuera, New Zealand","Jorgensen, a New Zealand criminal on parole after completing a prison sentence, vanished in mysterious circumstances in 1984 after his car was found wrecked at the bottom of a cliff. Police initially suspected he faked his death, but he was declared legally dead in 1998. Since his body was never found, rumors persisted that he became a police informant in Australia.",
4–5 January 1985,43,"Biobío Region, Chile","American mathematician Weisfeiler disappeared during a solo hiking trip in 1985. Chilean authorities originally concluded that he drowned, but documents released by the U.S. Department of State in 2000 included a 1986 memo suggesting he may be a captive ""somewhere in Chile (probably Colonia Dignidad)"", and a 1987 account by a CIA source claiming that Weisfeiler had been interrogated and fatally beaten by a Chilean army patrol.",
22-Feb-85,8,"Cabot, Pennsylvania, U.S.","Mahan was last seen getting off her school bus a short distance from her house on 22 February 1985. Police focused on a van seen near the bus when she got off. Her face was the first to be put on mailers sent all around the country, a practice continued with age-progressed photos as time passed. She was declared legally dead in 1998. In 2011, police claimed they had received a promising new lead but would not discuss it.",
28-Mar-85,54–55,"Beirut, Lebanon",Unger Sarkis Zeitlian was a Lebanese American journalist and political leader of the Armenian Revolutionary Federation (ARF) who was abducted in Beirut on 28 March 1985 and presumably murdered under unknown circumstances.,
31-Mar-85,46,"Madrid, Spain","Alexandrov, a Soviet physicist, disappeared on 31 March 1985 while attending a nuclear winter conference.",
c. 6 July 1985,41,"San Francisco, California, U.S.","Fluegelman, a publisher, photographer, programmer, and attorney, disappeared on 6 July 1985, and is believed to have committed suicide after his car was found abandoned at the north end of the Golden Gate Bridge.",
06-Jul-85,19,"Honolulu, Hawaii, U.S.","Suzuki was last seen on the evening of 6 July 1985 after leaving a dance studio where she worked as an instructor. Blood evidence found at the scene has not been matched to any suspect, nor can it be matched to Suzuki, since her blood type was not known. A photographer she knew was questioned by police and released without charge.",
30-Jul-85,8,"Toronto, Canada","Morin disappeared from the Etobicoke borough after leaving her apartment to go on a swim date with a friend. While her case is now considered cold, it is still under investigation by local police and missing child organizations.",
05-Oct-85,17,"Santa Fe, Texas, U.S.","17-year-old Michelle Doherty Thomas was last seen leaving her familial residence in Santa Fe, Texas on 5 October 1985, after having returned from work at a Galveston, Texas gas station. She left to meet with friends at a nearby nightclub located on Galveston Island for later that the evening. Acquaintances claimed they had stopped at a convenience store on the way to the nightclub and Michelle had gotten into a vehicle with two men. She has not been seen since. Authorities believe that she may have been abducted and murdered.",
15-Oct-85,89,"Chennai, India","Cotah Ramaswami, an Indian cricketer who played in two test matches in 1936, walked out of his home on 15 October 1985 and was never seen again.",
27-Nov-85,12,"St. Augustine, Florida, U.S.",Lambert was a girl who went missing on 27 November 1985. She has never been seen again and foul play is highly suspected in the case.,
Feb-86,60,Haiti,"Adolphe, who was the right-hand woman of former Haitian president François Duvalier, was held prisoner in an army barracks next to the national palace in Haiti following Duvalier's overthrow, and left the country in February 1986. Her current whereabouts are unknown.",
06-Apr-86,9,"Gallup, New Mexico, U.S.","American girl Anthonette Cayedito disappeared from her home in the early-morning hours of 6 April 1986. Her mother went to look for her, but she could not be found.",
15-Apr-86,5 months,Libya,"The adopted daughter of Muammar Gaddafi, Hana Gaddafi is alleged to have died in the 1986 United States bombing of Libya; however, claims of her death in these bombings are disputed, with allegations including her having survived the raid and subsequently becoming a doctor as an adult, and of her mother fleeing to Algeria with her and her siblings, remaining.",
19-Apr-86,13,"Saratoga Springs, New York, U.S.","McCormick was last seen alive by her sister, whom she informed of her intentions to hitchhike to school. She never arrived at her destination. Although McCormick had informed school friends of her intentions to run away to Florida, she did not take any of her personal belongings, and was wearing boots she had complained gave her discomfort. It is believed McCormick met with foul play; investigators have considered two individuals as suspects in the case: Firstly, convicted child murderer, Lewis Stephen Lent Jr; then in 2011 police named Arthur Mason Slaybaugh, who died in 2001, as a person of interest in the case.",
14-May-86,12,Singapore,"Two students of Owen Primary School, best friends Keh Chin Ann and Toh Hong Huat, both 12 years old, went missing on 14 May 1986. Chin Ann, the youngest of three children and the only son of his family, was last seen by a classmate running out of school to buy something after passing his bag to him. Hong Huat, the only child of a single-parent family, was last seen by his mother going out of the house to go to school, saying that Chin Ann came to fetch him to go to school together (which took place after Chin Ann went out of school). The boys were generally well-behaved and had never played truant before, according to their families. Their case became known as the ""McDonald's Boys Case"" as the fast food chain McDonald's offered a hefty S$100,000 reward for any information of the boys' whereabouts.",
12,,,,
25-Jun-86,10,Spain,"Martínez, the ten-year-old son of a tank truck driver, mysteriously disappeared after his father's truck overturned in the Somosierra mountain pass and spilled its cargo of over 20,000 litres of sulphuric acid, resulting in deaths of his parents. However, the child's body was never found at the scene. Physical evidence and witness accounts suggested that Martínez was abducted, possibly by a drug smuggling cartel, following the accident.",
